transcript	gene	chr	tx_start	tx_end	bp	n_exons	p_all	p_syn	p_mis	p_lof
ENST00000368784.1	LCE2D	1	152636581	152636914	333	1	4.64394954852262e-06	1.08091581752262e-06	3.294768487e-06	2.68265244e-07
ENST00000368814.3	THEM4	1	151847363	151881934	723	6	1.18342026376351e-05	3.15132444738514e-06	7.699775069e-06	9.8310312125e-07
ENST00000290583.4	CELF3	1	151677516	151688496	1398	12	9.44491807777997e-06	2.89285920201235e-06	5.7142698357553e-06	8.37789040012322e-07
ENST00000368661.3	SLC27A3	1	153747832	153752478	2193	10	4.54923130770307e-05	1.40688285171927e-05	2.83986683875172e-05	3.0248161723208e-06
ENST00000368787.3	LCE3D	1	152552133	152552412	279	1	4.68623983501439e-06	1.21806350101439e-06	2.993636034e-06	4.745403e-07
ENST00000468739.1	SPRR2F	1	153084990	153085209	219	1	3.05315709727652e-06	8.82024280526518e-07	1.854964782e-06	3.1616803475e-07
ENST00000368783.1	LCE2C	1	152648491	152648824	333	1	4.62693348167865e-06	1.07828220067866e-06	3.28709526699999e-06	2.61556014e-07
ENST00000331491.1	HIST2H3D	1	149784825	149785236	411	1	1.2682239760818e-05	3.74329455006799e-06	8.64315216699999e-06	2.9579304375e-07
ENST00000369153.2	BOLA1	1	149871612	149872026	414	1	1.0494458840487e-05	3.373199715987e-06	6.595404228e-06	5.258548965e-07
ENST00000368910.3	TNFAIP8L2	1	151131173	151131728	555	1	1.01630900536445e-05	2.8430697931445e-06	7.03919309e-06	2.808271705e-07
ENST00000368704.1	S100A16	1	153580009	153580627	312	2	5.410046491147e-06	1.617677391647e-06	3.476871101e-06	3.154979985e-07
ENST00000334371.2	LCE1F	1	152748847	152749204	357	1	5.70795501940567e-06	1.56009445465567e-06	3.798962433e-06	3.4889813175e-07
ENST00000368806.1	TCHHL1	1	152057442	152060619	2715	2	2.99390434328175e-05	7.79075249881746e-06	1.9359490367e-05	2.788800567e-06
ENST00000368744.3	PRR9	1	153190620	153190971	351	1	1.37642584526977e-06	3.49491449363154e-07	8.31253849399914e-07	1.95680546506701e-07
ENST00000368830.3	MRPL9	1	151732525	151735955	804	7	1.71528795119303e-05	4.60025129143031e-06	1.1055228493e-05	1.4973997275e-06
ENST00000368768.1	LCE1C	1	152777597	152777954	357	1	4.940713564827e-06	1.338152404077e-06	3.278506864e-06	3.2405429675e-07
ENST00000368770.3	LCE1E	1	152759775	152760132	357	1	4.55813954321325e-06	1.21055493621326e-06	3.03448316299999e-06	3.13101444e-07
ENST00000234739.3	BCL9	1	147083635	147096760	4281	7	6.37343756649493e-05	1.67049854121996e-05	4.24483700929997e-05	4.58102015975e-06
ENST00000290722.1	PGLYRP3	1	153270431	153283141	1026	7	1.69221409719497e-05	4.92989132519974e-06	1.0317627997e-05	1.67462164975e-06
ENST00000290524.4	RFX5	1	151314661	151318796	1851	9	2.7813615555661e-05	6.667006838411e-06	1.8125380624e-05	3.02122809325e-06
ENST00000368748.4	SPRR2G	1	153122364	153122586	222	1	2.96383113543426e-06	8.11718199684257e-07	1.841383241e-06	3.1072969475e-07
ENST00000368764.3	IVL	1	152882273	152884031	1758	1	6.99579310544202e-06	1.94632585085317e-06	3.97102411959965e-06	1.0784431349892e-06
ENST00000271640.5	SETDB1	1	150900190	150936840	3876	21	5.99085984270456e-05	1.41364438792956e-05	3.9249207026e-05	6.52294752175001e-06
ENST00000271348.2	GJA5	1	147230269	147231346	1077	1	1.90342682739208e-05	4.98418993567079e-06	1.2377972554e-05	1.67210578425e-06
ENST00000368804.1	TCHH	1	152079860	152086556	5832	2	0.000137686734358329	2.92897670365782e-05	9.52004992920009e-05	1.319646802975e-05
ENST00000368702.1	S100A14	1	153587360	153588334	315	3	5.03817695345804e-06	1.43471211370804e-06	3.268133637e-06	3.3533120275e-07
ENST00000368575.3	RAB13	1	153954574	153958712	612	8	1.08607928885277e-05	2.87339852427768e-06	6.81886599700001e-06	1.16852836725e-06
ENST00000368720.2	S100A6	1	153507171	153507815	273	2	3.70395432936649e-06	1.12312629911649e-06	2.337018321e-06	2.4380970925e-07
ENST00000368820.3	LINGO4	1	151773398	151775180	1782	1	2.6088346487678e-05	7.15161498492803e-06	1.7359394493e-05	1.57733700975e-06
ENST00000290363.5	C1orf51	1	150255677	150259366	1158	5	1.64367065581922e-05	4.19869180994218e-06	1.0977429278e-05	1.26058547025e-06
ENST00000368716.4	S100A4	1	153516234	153517270	306	2	4.40265411135218e-06	1.42744969635218e-06	2.714143681e-06	2.61060734e-07
ENST00000368789.1	LCE3E	1	152538405	152538684	279	1	4.70489266391173e-06	1.25508656066173e-06	2.996051534e-06	4.5375456925e-07
ENST00000368685.5	SNAPIN	1	153631219	153633777	411	4	6.01401729345643e-06	1.72537730418794e-06	3.64082257501427e-06	6.47817414254215e-07
ENST00000368699.1	S100A13	1	153591370	153598948	297	2	4.0816946057359e-06	1.2355223594859e-06	2.578493764e-06	2.6767848225e-07
ENST00000392948.2	HIST2H3PS2	1	149400131	149400542	411	1	1.23153024914604e-05	3.64725618071046e-06	8.37975647699999e-06	2.8828983375e-07
ENST00000368708.3	S100A2	1	153533914	153536350	294	2	9.7086981223157e-07	2.68618300382024e-07	5.83804485520104e-07	1.18447026329442e-07
ENST00000368623.3	SLC39A1	1	153932573	153935191	975	3	1.53793418180322e-05	4.70880550478222e-06	9.75898837899998e-06	9.1154793425e-07
ENST00000448116.2	SHC1	1	154936278	154943002	1755	12	3.09322460103224e-05	8.6559023128223e-06	2.03113243710001e-05	1.9650193265e-06
ENST00000368799.1	FLG	1	152275175	152287932	12186	2	0.000196272734390321	5.21792821920662e-05	0.000125724153942005	1.836929825625e-05
ENST00000240986.4	GJA8	1	147380082	147381384	1302	1	2.59019036618067e-05	8.40186610930665e-06	1.615869105e-05	1.3413465025e-06
ENST00000304760.2	SHE	1	154456624	154474502	1488	6	3.22237873966131e-05	1.00897497518631e-05	1.947007001e-05	2.66396763475e-06
ENST00000271915.4	KCNN3	1	154680451	154842440	2196	8	4.04465983666588e-05	1.20050073349088e-05	2.5569601237e-05	2.87198979475e-06
ENST00000369317.4	TXNIP	1	145438802	145441218	1176	8	1.80346672764989e-05	4.36639226899889e-06	1.1529226418e-05	2.1390485895e-06
ENST00000538795.1	AL356356.1	1	150522733	150523536	465	2	1.68164889877645e-06	4.39863990976187e-07	1.08101897961089e-06	1.60765928189364e-07
ENST00000368480.3	TDRD10	1	154479379	154520033	1101	11	1.83083076028865e-05	5.38517231863652e-06	1.1067306632e-05	1.85582865225e-06
ENST00000361824.2	HORMAD1	1	150671129	150691981	1185	14	1.43022929560469e-05	3.38744372529692e-06	9.08766708300002e-06	1.82718214775e-06
ENST00000368607.3	CREB3L4	1	153941001	153946541	1188	9	1.77548630241794e-05	4.91028811392942e-06	1.1452882166e-05	1.39169274425e-06
ENST00000431011.2	LCE6A	1	152815996	152816239	243	1	1.43533502595942e-06	3.53617673495091e-07	9.49180489840035e-07	1.32536862624297e-07
ENST00000368888.4	PIP5K1A	1	151171472	151220341	1689	16	2.74072130539791e-05	7.11255179747921e-06	1.75032733229999e-05	2.7913879335e-06
ENST00000479191.1	RIIAD1	1	151694012	151701312	279	4	1.35079136969003e-06	4.08334227059673e-07	8.04063718459147e-07	1.38393424171206e-07
ENST00000307098.4	SPRR1B	1	153004821	153005091	270	1	3.22393543315848e-06	8.39789013658492e-07	2.02236955299999e-06	3.617768665e-07
ENST00000368985.3	CTSS	1	150705521	150737239	996	7	1.35256926124779e-05	3.21202111497793e-06	8.804161649e-06	1.5095098485e-06
ENST00000368718.1	S100A5	1	153509771	153512667	279	2	4.23236750703992e-06	1.44918153453992e-06	2.564820327e-06	2.183656455e-07
ENST00000326233.6	LCE1D	1	152770270	152770615	345	1	5.08486273207752e-06	1.4005450845224e-06	3.38229105171205e-06	3.02026595843061e-07
ENST00000368738.3	S100A9	1	153330759	153333314	345	2	5.5382957911365e-06	1.6606171403865e-06	3.37980884e-06	4.9786981075e-07
ENST00000369026.2	MCL1	1	150549850	150552006	1053	3	2.63713435098154e-05	9.20646138967976e-06	1.56965842281414e-05	1.46829789199427e-06
ENST00000368822.1	TDRKH	1	151746927	151755498	1686	12	2.33225627125374e-05	5.72173204003745e-06	1.5440661493e-05	2.1601691795e-06
ENST00000368467.3	PMVK	1	154897604	154909161	579	5	1.21372894691082e-05	3.32067503660824e-06	7.84161632799999e-06	9.749981045e-07
ENST00000368655.4	GATAD2B	1	153782652	153800823	1782	10	2.82942760268661e-05	6.37473452011605e-06	1.8610926587e-05	3.30861491975e-06
ENST00000360090.3	LCE1B	1	152784922	152785279	357	1	4.73110552197954e-06	1.22409310597954e-06	3.189711948e-06	3.17300468e-07
ENST00000368463.3	PBXIP1	1	154917499	154926197	2196	10	3.32336110289225e-05	8.60521949542248e-06	2.1762848745e-05	2.8655427885e-06
ENST00000368868.5	SELENBP1	1	151337018	151345117	1419	12	2.46123242414739e-05	7.06142392747387e-06	1.5126059242e-05	2.424841072e-06
ENST00000368921.3	MLLT11	1	151039700	151039973	273	1	3.60419418473423e-06	1.08932328373423e-06	2.293797241e-06	2.2107366e-07
ENST00000328051.2	SPRR4	1	152944366	152944606	240	1	3.09745578496888e-06	7.45085226218879e-07	1.93472559e-06	4.1764496875e-07
ENST00000334163.3	POLR3C	1	145592689	145609336	1605	14	2.33541115994025e-05	5.50896785465246e-06	1.5107755117e-05	2.73738862775e-06
ENST00000368457.2	PYGO2	1	154931254	154934052	1221	3	1.54517453160684e-05	4.57880463922015e-06	9.75777268080415e-06	1.1151679960441e-06
ENST00000369135.4	OTUD7B	1	149915755	149949445	2532	11	3.84806188343907e-05	9.76103522139069e-06	2.4896491232e-05	3.823092381e-06
ENST00000368947.4	ANXA9	1	150955581	150967798	1038	12	1.72525830230861e-05	4.51499644308609e-06	1.0397113918e-05	2.340472662e-06
ENST00000355594.4	ANKRD35	1	145549316	145567756	3006	13	5.16779006106008e-05	1.35746217853507e-05	3.26553756050001e-05	5.44790322025001e-06
ENST00000316073.3	RPTN	1	152127219	152130365	2355	2	3.10401121590908e-05	7.59131770809075e-06	1.8276271154e-05	5.172523297e-06
ENST00000318247.6	RORC	1	151779947	151804240	1557	11	2.77965959555583e-05	6.97606489830833e-06	1.7608608312e-05	3.21192274525e-06
ENST00000292169.1	S100A1	1	153602997	153604317	285	2	1.62021255978799e-06	5.71961150532474e-07	9.6124880330134e-07	8.70026059541721e-08
ENST00000359650.5	PGLYRP4	1	153303242	153320408	1122	8	1.67226606979557e-05	4.7582159234557e-06	1.0484175378e-05	1.4802693965e-06
ENST00000271843.4	JTB	1	153947154	153949728	441	5	7.58650765589379e-06	1.84200606939379e-06	4.904873613e-06	8.396279735e-07
ENST00000339643.5	ENSA	1	150595319	150601946	414	5	5.29579629645006e-06	1.67946625920006e-06	3.165307119e-06	4.5102291825e-07
ENST00000368884.3	PSMD4	1	151227258	151239819	1134	10	1.82251753664947e-05	4.75687986549471e-06	1.2056439882e-05	1.411855619e-06
ENST00000361247.4	ARHGEF2	1	155917732	155948218	2961	22	6.17606616621851e-05	1.49865618919348e-05	4.01322254600003e-05	6.64187431025e-06
ENST00000367996.5	ADAMTS4	1	161160927	161168417	2514	9	4.70004986958196e-05	1.28189770868195e-05	3.07870727480001e-05	3.394448861e-06
ENST00000368107.1	DUSP23	1	159750890	159752128	453	2	3.17696705775235e-06	9.16706861159609e-07	1.93008985394552e-06	3.30170342647211e-07
ENST00000356955.2	ADAM15	1	155023862	155034978	2592	23	4.56753710395994e-05	1.22117249875994e-05	2.8439818148e-05	5.023827904e-06
ENST00000368012.3	PVRL4	1	161042450	161059086	1533	9	3.07630739869315e-05	9.29823787443153e-06	1.9016340975e-05	2.4484951375e-06
ENST00000368407.3	EFNA1	1	155100453	155106543	618	5	1.00961010046298e-05	2.68781377837983e-06	6.64780198400001e-06	7.6048524225e-07
ENST00000392306.2	SH2D2A	1	156776969	156786500	1200	8	2.24491869011156e-05	6.64221369361564e-06	1.3973234441e-05	1.8337387665e-06
ENST00000359209.6	KIRREL	1	157963466	158064910	2274	15	4.7396136706465e-05	1.3477303162215e-05	3.0086266879e-05	3.83256666525e-06
ENST00000368176.3	FCRL1	1	157765888	157789827	1290	11	1.85705146476913e-05	5.38703515644127e-06	1.1660183503e-05	1.52329598825e-06
ENST00000255039.1	HAPLN2	1	156593282	156595176	1023	5	1.57643757289998e-05	5.12825855261888e-06	9.69753466889581e-06	9.38582507485084e-07
ENST00000334632.1	OR6P1	1	158532440	158533394	954	1	5.43131728547487e-06	1.42534474451076e-06	3.75444489753566e-06	2.51527643428448e-07
ENST00000368399.1	DPM3	1	155112437	155112806	369	1	6.44722352732247e-06	2.01958778607247e-06	3.868280663e-06	5.5935507825e-07
ENST00000368195.3	INSRR	1	156810664	156828413	3894	22	7.99156498465105e-05	2.24824724397597e-05	5.16663570460008e-05	5.76682036075e-06
ENST00000423932.3	OR10J1	1	159409548	159410511	963	1	1.21556517463413e-05	3.13496601234123e-06	8.32917205400002e-06	6.9151368e-07
ENST00000368140.1	PYHIN1	1	158906700	158943556	1479	7	2.00287610433437e-05	5.09586461359368e-06	1.3142652643e-05	1.79024378675e-06
ENST00000368305.4	LAMTOR2	1	156024680	156028162	378	4	7.62261092706557e-06	2.34828302856557e-06	4.612384831e-06	6.619430675e-07
ENST00000367999.4	PPOX	1	161136637	161140966	1434	12	2.35575247096628e-05	5.95117612416283e-06	1.5833146512e-05	1.7732020735e-06
ENST00000368026.6	F11R	1	160968660	160990863	900	10	1.4875193548239e-05	3.86990972548899e-06	9.48740482499998e-06	1.51787899775e-06
ENST00000334634.4	TRIM46	1	155146442	155156666	2280	10	4.52366747734671e-05	1.22415558029671e-05	2.9522470062e-05	3.4726489085e-06
ENST00000368046.3	CD48	1	160648841	160681553	732	4	1.00047065377375e-05	2.95148835548752e-06	6.23889398900001e-06	8.1432419325e-07
ENST00000313146.6	ISG20L2	1	156693140	156697444	1062	3	1.60425615349082e-05	4.05098379840822e-06	1.0385229027e-05	1.6063487095e-06
ENST00000361284.1	OR10Z1	1	158576228	158577170	942	1	1.12696619622379e-05	3.35110615148794e-06	7.375866138e-06	5.4268967275e-07
ENST00000368072.5	PEX19	1	160249340	160254914	900	8	1.3314505983556e-05	3.98227618230595e-06	8.247939432e-06	1.08429036925e-06
ENST00000368006.3	DEDD	1	161091936	161094252	957	4	1.75985681122275e-05	3.95343123772749e-06	1.1990925229e-05	1.6542116455e-06
ENST00000348159.4	MEF2D	1	156437436	156453084	1566	11	3.17220365703587e-05	9.73024385085866e-06	1.9420960111e-05	2.5708326085e-06
ENST00000368309.3	UBQLN4	1	156006768	156023492	1806	11	3.18113482383354e-05	9.10127171783533e-06	2.03114549490001e-05	2.3986215715e-06
ENST00000338302.3	PEAR1	1	156873718	156884590	3114	22	6.00406210011533e-05	1.67640551141532e-05	3.81838900690001e-05	5.092675818e-06
ENST00000335852.1	PAQR6	1	156213651	156215639	1056	5	1.51574798937706e-05	4.88806044193311e-06	9.42213104592304e-06	8.47288405914397e-07
ENST00000326245.3	ITLN1	1	160846453	160854667	942	7	1.68495337375934e-05	5.12305710209343e-06	1.0239415462e-05	1.4870611735e-06
ENST00000368236.3	TTC24	1	156551156	156556342	1749	10	9.93685381144479e-06	2.86073101990286e-06	6.08827159623346e-06	9.87851195308474e-07
ENST00000334438.1	OR10T2	1	158368311	158369256	945	1	1.12068222045495e-05	2.84327388754946e-06	7.72254815700001e-06	6.4100016e-07
ENST00000368339.5	YY1AP1	1	155629447	155658255	2667	10	3.99166812734199e-05	1.05459159306699e-05	2.6076566472e-05	3.29419887075e-06
ENST00000368073.3	DCAF8	1	160187381	160213798	1794	12	3.6908238112304e-05	8.85994381480411e-06	2.40664280869999e-05	3.9818662105e-06
ENST00000524377.1	NTRK1	1	156830726	156851434	2391	17	4.68820844958772e-05	1.41681055470994e-05	2.96974405099174e-05	3.01653843886035e-06
ENST00000423014.2	TSTD1	1	161007564	161008679	348	4	2.9576376366529e-06	8.59766539104913e-07	1.93745676570342e-06	1.60414331844574e-07
ENST00000361516.3	FCRL2	1	157716525	157746863	1527	12	2.05473136488746e-05	5.70848555887463e-06	1.2920956379e-05	1.917871711e-06
ENST00000367993.3	NDUFS2	1	161172175	161183983	1392	14	2.4270702908649e-05	5.414388852399e-06	1.5185383097e-05	3.67093095925e-06
ENST00000327247.5	GBA	1	155204785	155210903	1611	11	2.64514343845775e-05	6.88962064307746e-06	1.6964430664e-05	2.5973830775e-06
ENST00000368321.3	KIAA0907	1	155883911	155904164	1845	14	2.63455957103189e-05	6.55624283156895e-06	1.64139675199999e-05	3.37538535875e-06
ENST00000289707.5	SLAMF8	1	159796688	159805050	858	5	1.4331572667332e-05	3.92880036783206e-06	8.61202763899999e-06	1.7907446605e-06
ENST00000271532.1	FCRL4	1	157545313	157567734	1548	12	2.30732840857803e-05	6.28337326128027e-06	1.406517364e-05	2.7247371845e-06
ENST00000368272.4	BGLAP	1	156212022	156212953	303	4	6.1956591165215e-06	2.0160164255215e-06	3.772086787e-06	4.07555904e-07
ENST00000392487.1	LENEP	1	154966083	154966269	186	1	3.24125547917683e-06	7.81909017426832e-07	2.082417168e-06	3.7692929375e-07
ENST00000367990.3	APOA2	1	161192194	161193191	303	3	4.40795705684629e-06	1.29779475959629e-06	2.746534608e-06	3.6362768925e-07
ENST00000368171.3	CD1D	1	158150891	158153940	1008	6	1.92595728723807e-05	5.62792082988072e-06	1.1709307865e-05	1.9223441775e-06
ENST00000319769.5	B4GALT3	1	161141605	161145850	1182	6	2.22210120664289e-05	4.89737240242891e-06	1.4608574179e-05	2.715065485e-06
ENST00000368222.3	CRABP2	1	156669817	156675238	417	4	7.40237131647587e-06	2.23021451072587e-06	4.253657879e-06	9.1849892675e-07
ENST00000368206.5	HDGF	1	156713240	156722155	771	6	1.27673330095651e-05	3.89652631781512e-06	7.70293772999999e-06	1.16786896175e-06
ENST00000360472.4	PEA15	1	160181334	160183276	393	3	5.99995531326913e-06	1.53050959251913e-06	4.084537735e-06	3.8490798575e-07
ENST00000368243.1	C1orf61	1	156374345	156386631	471	5	3.11227950627655e-06	8.45068329882261e-07	2.05257709857328e-06	2.14634077821012e-07
ENST00000368010.3	PFDN2	1	161070472	161087816	465	4	9.03153792311883e-06	2.41265343636883e-06	5.735879842e-06	8.8300464475e-07
ENST00000368378.3	THBS3	1	155165631	155177667	2871	23	5.05265216158462e-05	1.34616272423461e-05	3.11506677630001e-05	5.91422661050001e-06
ENST00000368276.4	PMF1-BGLAP	1	156182806	156212874	663	7	1.21794718177802e-05	3.77681224228023e-06	7.217975192e-06	1.1846843835e-06
ENST00000368255.3	TSACC	1	156309548	156316773	378	3	4.63076865349453e-06	1.26366234749453e-06	2.94344123e-06	4.23665076e-07
ENST00000368094.1	IGSF9	1	159897134	159913244	3540	20	6.31402715414841e-05	1.7084374479859e-05	4.02809795718538e-05	5.77491748977129e-06
ENST00000368167.3	CD1E	1	158323778	158326686	1167	6	1.74811215863869e-05	4.22339884338686e-06	1.1160995536e-05	2.096727207e-06
ENST00000368285.3	SEMA4A	1	156124369	156146788	2286	14	3.82059633478117e-05	1.09986425665618e-05	2.41811310089999e-05	3.02618977225e-06
ENST00000368249.1	RHBG	1	156339040	156354585	1326	10	2.53906899413414e-05	8.12445886734148e-06	1.57698238559999e-05	1.496407218e-06
ENST00000368145.1	OR6K3	1	158686957	158687905	948	1	1.20433229797288e-05	3.30869264322881e-06	8.22997853500001e-06	5.046518015e-07
ENST00000302631.3	SCAMP3	1	155226063	155231942	1044	9	1.8689264610072e-05	5.04886568532204e-06	1.1471663428e-05	2.16873549675e-06
ENST00000295702.4	SSR2	1	155979330	155989958	552	5	8.9427763806582e-06	2.3937488126582e-06	5.345287163e-06	1.203740405e-06
ENST00000438976.2	GPATCH4	1	156565004	156571231	1128	8	1.57821746709997e-05	3.78929765874965e-06	1.0031754388e-05	1.96112262425e-06
ENST00000368131.4	IFI16	1	158984470	159024691	2190	10	2.8212826730754e-05	7.09176686750414e-06	1.82482563269999e-05	2.87280353625e-06
ENST00000367980.2	NR1I3	1	161199586	161206355	1074	8	1.6827285907327e-05	4.04403555307696e-06	1.0763677214e-05	2.01957314025e-06
ENST00000368141.4	MNDA	1	158811943	158819027	1224	6	1.59270256288057e-05	4.34139536130572e-06	1.0079717497e-05	1.5059127705e-06
ENST00000368147.4	SPTA1	1	158581053	158656307	7260	52	0.000106242556638595	2.50072795913443e-05	6.7036695430001e-05	1.419858161725e-05
ENST00000368121.2	DARC	1	159175223	159176240	1017	1	1.28978495309771e-05	3.85764944872707e-06	8.21961554700001e-06	8.2058453525e-07
ENST00000368086.1	IGSF8	1	160061612	160068262	1842	6	3.68833166083339e-05	9.8112258283339e-06	2.3709859398e-05	3.362231382e-06
ENST00000368100.1	VSIG8	1	159824542	159832311	1245	7	2.54940972451165e-05	8.54322881495826e-06	1.52160448385525e-05	1.73482359160571e-06
ENST00000311224.4	CD84	1	160518045	160549227	1038	8	1.48969523437525e-05	3.85211875150249e-06	9.74325859499998e-06	1.30157499725e-06
ENST00000368102.1	C1orf204	1	159807707	159825027	708	5	4.12473515683432e-06	1.40181072459438e-06	2.46517544058106e-06	2.57748991658885e-07
ENST00000368106.3	FCRL6	1	159772214	159785451	1305	10	1.80898854837315e-05	5.05450571298147e-06	1.1055268934e-05	1.98011083675e-06
ENST00000368424.3	DCST2	1	154991019	155006177	2322	15	4.16963531932694e-05	1.07989033445194e-05	2.6812595233e-05	4.08485461575e-06
ENST00000362007.1	C1orf85	1	156262834	156265436	1221	6	1.95409583832849e-05	5.69867698628495e-06	1.1868146839e-05	1.974134558e-06
ENST00000368088.3	KCNJ9	1	160053820	160057607	1182	2	1.8621799627634e-05	6.37352334722674e-06	1.15349218825767e-05	7.13354397830523e-07
ENST00000271526.4	PRCC	1	156737563	156770252	1476	7	2.29529933493765e-05	7.53319821942195e-06	1.38908050492658e-05	1.52899008068872e-06
ENST00000292180.3	FLAD1	1	154956170	154965513	1764	7	2.41024361680978e-05	6.18095426709779e-06	1.5923078015e-05	1.998403886e-06
ENST00000314902.2	OR10K2	1	158389717	158390656	939	1	1.06919652996854e-05	2.90540435118536e-06	7.316648646e-06	4.699123025e-07
ENST00000289429.5	CD1A	1	158224459	158227480	984	6	1.56338572802327e-05	3.95379946623273e-06	1.01756952e-05	1.504362614e-06
ENST00000302035.6	SLAMF1	1	160580537	160616735	1008	7	1.48681153646786e-05	4.10909257267866e-06	9.66942983499999e-06	1.089592957e-06
ENST00000342741.4	PKLR	1	155260362	155271186	1725	11	3.69618651115242e-05	1.04779014337742e-05	2.413623437e-05	2.34772930775e-06
ENST00000368021.3	USF1	1	161009709	161013065	933	10	1.68410883544125e-05	4.19046829016255e-06	1.0552504811e-05	2.09811525325e-06
ENST00000263285.6	LY9	1	160765977	160797606	1968	10	2.86006445317486e-05	7.91100198949861e-06	1.7904154426e-05	2.78548811625e-06
ENST00000361216.3	ATP1A2	1	160085651	160111112	3063	23	5.75949913444312e-05	1.6107308186931e-05	3.67763165300002e-05	4.71136662750001e-06
ENST00000367988.3	TOMM40L	1	161196279	161198885	927	9	1.51915894661313e-05	3.98472570913134e-06	9.72888196999999e-06	1.477981787e-06
ENST00000334857.2	OR10J5	1	159504867	159505797	930	1	1.13952671143729e-05	2.99854767587292e-06	7.67388724300001e-06	7.228321955e-07
ENST00000392403.3	ASH1L	1	155307450	155491310	8895	27	0.000123948246872772	2.82007549945224e-05	8.07286563039999e-05	1.50188355742501e-05
ENST00000361361.2	FAM189B	1	155217572	155224668	2007	12	3.62446724369087e-05	9.78974266273226e-06	2.36717724111907e-05	2.78315736298573e-06
ENST00000294785.5	NCSTN	1	160313186	160328061	2130	17	3.36672492838737e-05	8.54821034087371e-06	2.1307922712e-05	3.811116231e-06
ENST00000368029.3	ITLN2	1	160914929	160924531	978	8	1.67488142617481e-05	4.74557889499807e-06	1.0688629337e-05	1.31460602975e-06
ENST00000255030.5	CRP	1	159683314	159684275	675	2	1.01460998304328e-05	3.11808260868276e-06	6.351197477e-06	6.7681974475e-07
ENST00000255040.2	APCS	1	159557711	159558498	672	2	8.71301239631169e-06	2.31261570381169e-06	5.358149046e-06	1.0422476465e-06
ENST00000368003.5	UFC1	1	161123787	161128282	504	6	9.66534739252864e-06	2.43341331727863e-06	5.58758533400001e-06	1.64434874125e-06
ENST00000368408.3	EFNA3	1	155051417	155059019	717	5	1.83173287800927e-05	6.42956101984273e-06	1.0892600301e-05	9.95167459250001e-07
ENST00000368043.3	SLAMF7	1	160709091	160722967	1008	7	1.38922900967529e-05	3.97992454575291e-06	8.77813173899999e-06	1.134233812e-06
ENST00000332217.5	OR10J3	1	159283459	159284449	990	1	1.1946986360999e-05	3.16181608249904e-06	8.22548996999999e-06	5.596803085e-07
ENST00000368011.4	KLHDC9	1	161068325	161070014	1050	4	1.97218875742635e-05	5.38094248091589e-06	1.26291493346978e-05	1.71179575864981e-06
ENST00000335094.2	OR6N1	1	158735533	158736472	939	1	1.22400524249846e-05	3.44498120298461e-06	8.17488051699999e-06	6.20190705e-07
ENST00000329117.5	BCAN	1	156615846	156628926	2736	13	5.62103983830323e-05	1.62950901240323e-05	3.5274563836e-05	4.640744423e-06
ENST00000368090.2	PIGM	1	160000257	160001529	1272	1	2.3172081113404e-05	7.16171693690397e-06	1.4864969261e-05	1.1453949155e-06
ENST00000368322.3	RIT1	1	155870178	155880676	711	6	1.14261624361864e-05	2.16356851868634e-06	7.68093850100001e-06	1.5816554165e-06
ENST00000302617.3	OR6Y1	1	158516917	158517895	978	1	1.27421986984427e-05	3.08074507644269e-06	8.81213082100001e-06	8.49322801e-07
ENST00000368009.2	NIT1	1	161087966	161090555	984	7	1.55308058484248e-05	3.68743965967476e-06	1.0057483583e-05	1.78588260575e-06
ENST00000368318.3	RXFP4	1	155911500	155912625	1125	1	2.03931123693164e-05	5.76994293581636e-06	1.3513727166e-05	1.1094422675e-06
ENST00000368216.4	RRNAD1	1	156698896	156706545	1428	8	2.4903509073236e-05	6.49322150123606e-06	1.59455432139999e-05	2.464744358e-06
ENST00000368194.3	ARHGEF11	1	156905791	157014122	4689	41	7.91232354196038e-05	2.03154874748534e-05	5.08008932840004e-05	8.00685466075e-06
ENST00000368057.3	SLAMF6	1	160456496	160492982	999	8	1.33294679127686e-05	3.72993777226864e-06	8.07142408299999e-06	1.5281060575e-06
ENST00000368404.4	SLC50A1	1	155108387	155110757	666	6	1.1981440867537e-05	3.40292811528703e-06	7.319608045e-06	1.25890470725e-06
ENST00000368013.3	ARHGAP30	1	161017504	161039414	3306	12	4.93549607779511e-05	1.23777186664509e-05	3.28799933620002e-05	4.0972487495e-06
ENST00000368184.3	FCRL3	1	157648499	157670279	2205	14	3.14327128882369e-05	8.92540949773687e-06	1.9425729229e-05	3.0815741615e-06
ENST00000368069.3	COPA	1	160259946	160312960	3702	33	5.70046378093818e-05	1.31999443723818e-05	3.7325541837e-05	6.47915160000001e-06
ENST00000289451.2	OR10K1	1	158435351	158436293	942	1	1.20170220109378e-05	3.31786786443782e-06	7.97125513800001e-06	7.278990085e-07
ENST00000339258.1	OR6N2	1	158746471	158747425	954	1	1.16264913532796e-05	2.87101351477959e-06	7.79589238900001e-06	9.595854495e-07
ENST00000295682.4	KRTCAP2	1	155141915	155145778	489	5	8.82931136283264e-06	2.60524664283264e-06	5.535120673e-06	6.88944047e-07
ENST00000337428.7	LRRC71	1	156890595	156902761	1680	15	1.59148828897231e-05	4.88379454287916e-06	9.72568576826632e-06	1.3054025785776e-06
ENST00000295688.3	CCT3	1	156278989	156307975	1638	14	2.67335750944395e-05	5.82300470743947e-06	1.7982894508e-05	2.927675879e-06
